1920 </s>	<s>
1748 .	</s>
 313 <s>	the
 231 of	the
 192 in	the
 185 ,	the
 177 <s>	``
 156 ,	''
 131 ''	</s>
 125 .	''
 109 ,	a
  99 <s>	in
  98 ,	and
  85 to	the
  84 on	the
  82 the	u.s.
  78 <s>	but
  75 for	the
  70 <s>	mr.
  66 ,	which
  62 said	it
  61 in	a
  59 ,	but
  54 that	the
  53 new	york
  51 at	the
  50 the	company
  48 and	the
  47 to	be
  47 said	.
  46 <s>	a
  46 ''	says
  45 ,	``
  44 ,	$
  42 ,	said
  41 said	the
  41 by	the
  40 <s>	it
  39 of	a
  39 ,	mr.
  38 with	the
  38 to	a
  38 it	's
  37 more	than
  36 will	be
  34 mrs.	yeargin
  34 <s>	he
  33 to	$
  33 it	is
  32 as	a
  32 ``	the
  31 ,	who
  30 the	first
  30 of	new
  29 from	the
  29 for	a
  28 a	share
  28 <s>	they
  28 ,	or
  27 of	its
  27 of	$
  27 he	said
  27 do	n't
  27 ,	he
  26 with	a
  26 the	new
  26 in	new
  26 as	the
  26 ``	we
  26 ,	for
  25 said	that
  25 one	of
  25 have	been
  25 %	.
  24 vice	president
  24 it	was
  24 according	to
  24 ,	it
  23 japan	's
  23 in	september
  23 did	n't
  23 a	new
  23 <s>	and
  22 has	been
  22 ,	they
  21 year	.
  21 the	same
  21 says	.
  21 corp.	,
  21 but	the
  21 about	$
  21 ``	i
  21 ''	said
  20 president	of
  20 number	of
  20 does	n't
  20 at	$
  20 ,	was
  20 ,	as
  20 ,	according
  20 $	15comma000
  19 year	,
  19 the	japanese
  19 said	,
  19 last	year
  19 is	a
  19 inc.	,
  19 in	japan
  19 for	$
  19 <s>	that
  19 ,	in
  19 ''	he
  19 %	of
  19 %	in
  18 this	year
  18 such	as
  18 is	n't
  18 georgia	gulf
  18 ,	says
  18 ,	is
  17 they	are
  17 the	market
  17 that	it
  17 suspension	;
  17 south	korea
  17 million	.
  17 it	has
  17 company	said
  17 a	year
  17 a	$
  17 :	</s>
  17 ''	mr.
  16 to	make
  16 time	,
  16 sea	containers
  16 part	of
  16 of	this
  16 new	england
  16 million	,
  16 in	october
  16 fined	$
  16 and	a
  16 <s>	mrs.
  16 <s>	for
  15 would	be
  15 there	is
  15 the	state
  15 she	was
  15 says	,
  15 over	the
  15 mr.	nixon
  15 had	been
  15 company	's
  15 at	a
  15 about	the
  15 ``	it
